seqnames,start,end,width,strand,count,name,exon,intron,utr5,utr5.,utr3,utr3.,intergenic,mirna,annot,target_gene,hfk.hf.padj,hfk.hf.log2FC,seed.8mer,seed.7m8,seed.7A1,seed.6mer,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID
chr11,94919777,94919823,47,+,2626,peak151,Gm22456,NA,NA,NA,NA,NA,FALSE,NA,exon,Gm22456,1.7191486492940995e-10,-6.232986696152702,NA,NA,NA,NA,ENSMUSG00000064512,"NA",NA
chr11,96292597,96292664,68,+,2400,peak153,Hoxb6,NA,Hoxb6,NA,NA,NA,FALSE,NA,utr5,Hoxb6,1.4727824024176713e-5,-5.4084229087748055,NA,NA,NA,NA,ENSMUSG00000000690,P09023,15414
chr11,113649663,113649710,48,+,2581,peak164,Cog1,NA,NA,NA,NA,NA,FALSE,NA,exon,Cog1,1.3557453094758448e-8,-4.414647604871823,NA,NA,NA,miR-423-3p,ENSMUSG00000018661,Q9Z160,16834
chr11,30138879,30138927,49,-,1415,peak172,Sptbn1,NA,NA,NA,NA,NA,FALSE,NA,exon,Sptbn1,0.003029559371287568,-3.8522780328988158,miR-221-3p/222-3p,NA,NA,NA,ENSMUSG00000020315,Q62261,20742
chr11,59963315,59963366,52,-,1584,peak176,Rasd1,NA,NA,NA,Rasd1,NA,FALSE,NA,utr3,Rasd1,1.090505009261555e-5,-4.107550587523537,miR-30-5p/384-5p,"miR-25-3p/32-5p/92-3p/363-3p/367-3p, miR-224-5p",NA,NA,ENSMUSG00000049892,O35626,19416
chr11,69399965,69400013,49,-,2012,peak179,Kdm6b,NA,NA,Tmem88,NA,NA,FALSE,NA,utr5*,Kdm6b Tmem88,4.012852378304559e-6,-4.067300667921081,miR-29-3p,NA,NA,NA,NA,Q5NCY0 Q9D0N8,NA
chr11,78415145,78415198,54,-,1518,peak184,NA,Slc13a2,NA,NA,NA,NA,FALSE,NA,intron,Slc13a2,1.7013736212843916e-6,-6.791851434229213,NA,NA,NA,NA,ENSMUSG00000001095,Q9ES88,20500
chr11,90185042,90185090,49,-,3320,peak186,n-R5s72,NA,NA,NA,NA,NA,FALSE,NA,exon,n-R5s72,5.0465945807179305e-9,-6.216633725211085,NA,NA,NA,"miR-10-5p, miR-200-3p/429-3p, miR-28-3p",ENSMUSG00000077706,"NA",NA
chr11,95870673,95870761,89,-,1225,peak189,NA,B4galnt2,NA,NA,NA,NA,FALSE,NA,intron,B4galnt2,3.0931009376523525e-4,-3.9672989245481274,NA,NA,NA,NA,ENSMUSG00000013418,Q09199,14422
chr11,95911831,95911886,56,-,2262,peak190,NA,B4galnt2,NA,NA,NA,NA,FALSE,NA,intron,B4galnt2,0.06259746125442564,-7.919457885894117,NA,NA,NA,NA,ENSMUSG00000013418,Q09199,14422
chr11,98155446,98155494,49,-,2052,peak194,Med1,Med1,NA,NA,NA,NA,FALSE,NA,exon,Med1,3.518845756285165e-4,-3.8608311375050093,NA,NA,miR-148-3p/152-3p,NA,ENSMUSG00000018160 ENSMUSG00000034297 ENSMUSG00000064127,Q925J9 Q5SWW4 A2ABV5,19014 327987 26896
chr11,113169131,113169188,58,-,6793,peak204,NA,RP23-468D17.1,NA,NA,NA,NA,FALSE,NA,intron,RP23-468D17.1,1.269686120296683e-10,-8.615761481350532,NA,NA,NA,NA,NA,"NA",NA
chr12,31445072,31445123,52,+,1480,peak209,NA,Slc26a3,NA,Slc26a3,NA,NA,FALSE,NA,utr5*,Slc26a3,1.0714725212850171e-4,-4.287222511831602,NA,NA,NA,NA,ENSMUSG00000001225,Q9WVC8,13487
chr12,59071615,59071662,48,+,1703,peak214,Pnn,NA,NA,NA,NA,NA,FALSE,NA,exon,Pnn,0.08454396458578367,-3.998033492895405,NA,NA,NA,NA,ENSMUSG00000020994,O35691,18949
chr12,82150495,82150547,53,+,2725,peak217,n-R5s62,NA,NA,NA,NA,NA,FALSE,NA,exon,n-R5s62,5.8380125509436936e-8,-6.283176699143401,NA,NA,NA,miR-10-5p,ENSMUSG00000064714,"NA",NA
chr12,67489149,67489197,49,-,9497,peak228,n-R5s60,NA,NA,NA,NA,NA,FALSE,NA,exon,n-R5s60,1.2725343404942384e-11,-6.284926109706572,NA,NA,NA,NA,ENSMUSG00000065233,"NA",NA
chr13,74125225,74125290,66,+,3207,peak250,NA,Slc9a3,NA,NA,NA,NA,FALSE,NA,intron,Slc9a3,0.019722536171228634,-6.607273493206288,NA,NA,NA,miR-151-3p,ENSMUSG00000036123 ENSMUSG00000020733,G3X939 P70441,105243 26941
chr13,32072596,32072657,62,-,2274,peak260,NA,Gmds,NA,NA,NA,NA,FALSE,NA,intron,Gmds,9.381671510366191e-5,-5.186551565408809,NA,NA,NA,"miR-501-5p, miR-362-5p",ENSMUSG00000038372,Q8K0C9,218138
chr13,32075332,32075385,54,-,1644,peak261,NA,Gmds,NA,NA,NA,NA,FALSE,NA,intron,Gmds,3.991406897961296e-6,-5.619464154510183,NA,NA,NA,NA,ENSMUSG00000038372,Q8K0C9,218138
chr13,32253668,32253718,51,-,1889,peak262,NA,Gmds,NA,NA,NA,NA,FALSE,NA,intron,Gmds,0.035628631210242526,-6.4298714323262915,NA,miR-30a-3p/30d-3p/30e-3p,NA,NA,ENSMUSG00000038372,Q8K0C9,218138
chr13,95661979,95662037,59,-,2494,peak272,NA,Iqgap2,NA,NA,NA,NA,FALSE,NA,intron,Iqgap2,0.027061591164463807,-6.873969686764894,NA,NA,NA,NA,ENSMUSG00000021676,Q3UQ44,544963
chr13,96651851,96651897,47,-,5651,peak276,Hmgcr,Hmgcr,NA,NA,Hmgcr,Hmgcr,FALSE,NA,utr3,Hmgcr,0.0014591660040826912,1.5242937743650704,let-7-5p/miR-98-5p,NA,NA,"miR-196-5p, miR-484",ENSMUSG00000021670,Q01237,15357
chr13,103752616,103752666,51,-,1347,peak280,Srek1,NA,NA,NA,NA,Srek1,FALSE,NA,utr3*,Srek1,3.916528088036077e-6,-6.567270719884696,NA,miR-501-5p,miR-205-5p,miR-362-5p,ENSMUSG00000032621,Q8BZX4,218543
chr14,21812773,21812820,48,+,1770,peak284,Gm23502,NA,NA,NA,NA,NA,FALSE,NA,exon,Gm23502,4.631714046429216e-8,-7.333686534669577,NA,NA,NA,miR-25-3p/32-5p/92-3p/363-3p/367-3p,ENSMUSG00000065836,"NA",NA
chr14,20141740,20141786,47,-,1223,peak299,Kcnk5,NA,NA,NA,NA,NA,FALSE,NA,exon,Kcnk5,2.8256207920469495e-6,-3.8936178026051405,NA,NA,NA,NA,ENSMUSG00000023243,Q9JK62,16529
chr14,29009713,29009764,52,-,3587,peak300,Gm23999,Cacna2d3,NA,NA,NA,NA,FALSE,NA,exon,Gm23999 Cacna2d3,2.6480752585919677e-8,-7.346559154368699,NA,NA,NA,miR-21ac-5p,NA,Q9Z1L5,NA
chr14,54651395,54651453,59,-,2635,peak304,Acin1,Acin1,NA,NA,NA,NA,FALSE,NA,exon,Acin1,2.8392781845723534e-6,-6.526773166147132,NA,NA,NA,NA,ENSMUSG00000022185,Q9JIX8,56215
chr14,70585015,70585072,58,-,1607,peak309,Fam160b2,NA,NA,NA,Fam160b2,NA,FALSE,NA,utr3,Fam160b2,0.0011700167679868007,-2.8008255724967763,"miR-185-5p, miR-24-3p",miR-141-5p/6769b-3p,NA,NA,ENSMUSG00000022095,Q80YR2,239170
chr15,22716364,22716413,50,+,6147,peak320,NA,Cdh18,NA,NA,NA,NA,FALSE,NA,intron,Cdh18,3.0841307588953494e-12,-6.23721789252634,NA,NA,NA,miR-10-5p,ENSMUSG00000040420,E9Q9Q6,320865
chr15,44829731,44829788,58,+,5386,peak324,NA,RP24-288B1.2,NA,NA,NA,NA,FALSE,NA,intron,RP24-288B1.2,5.2023865148585916e-9,-7.354963484281087,NA,NA,NA,NA,NA,"NA",NA
chr15,79692537,79692587,51,+,8863,peak329,n-R5s40,Gtpbp1,NA,Gtpbp1,NA,NA,FALSE,NA,utr5*,n-R5s40 Gtpbp1,1.1989672906058213e-9,-6.128257551836382,NA,NA,NA,NA,NA,O08582,NA
chr15,99105170,99105228,59,+,3222,peak334,NA,NA,NA,NA,NA,Dnajc22,FALSE,NA,utr3*,Dnajc22,1.5734578423076182e-5,-5.307403410715177,NA,NA,NA,NA,ENSMUSG00000038009,Q8CHS2,72778
chr15,83154156,83154219,64,-,3132,peak342,Cyb5r3,NA,NA,NA,Cyb5r3,NA,FALSE,NA,utr3,Cyb5r3,4.115301590627539e-6,-6.026441999515836,NA,NA,NA,NA,ENSMUSG00000018042,Q9DCN2,109754
chr15,96698739,96698789,51,-,1349,peak345,Slc38a2,NA,Slc38a2,NA,NA,NA,FALSE,NA,utr5,Slc38a2,1.404306495946317e-5,-3.832357319599155,NA,miR-147-3p,NA,miR-210-3p,ENSMUSG00000022462,Q8CFE6,67760
chr15,98605541,98605601,61,-,8920,peak348,NA,Adcy6,NA,Adcy6,NA,NA,FALSE,NA,utr5*,Adcy6,1.7610732834535042e-10,-7.870347483349064,NA,NA,NA,NA,ENSMUSG00000022994,Q01341,11512
chr15,103345132,103345196,65,-,2167,peak355,Itga5,NA,NA,NA,Itga5,Itga5,FALSE,NA,utr3,Itga5,2.0240748521276756e-8,-4.907994994635718,miR-26-5p,NA,NA,"miR-205-5p, miR-205-5p, miR-29-3p, miR-7-5p",ENSMUSG00000000555,P11688,16402
chr16,4763285,4763340,56,+,1701,peak356,NA,Hmox2,NA,Hmox2,NA,NA,FALSE,NA,utr5*,Hmox2,5.5067538503422334e-5,-5.25167701687725,NA,NA,NA,NA,ENSMUSG00000004070,O70252,15369
chr16,30599788,30599836,49,+,2101,peak363,Fam43a,NA,Fam43a,NA,NA,NA,FALSE,NA,utr5,Fam43a,6.6803885146718504e-9,-4.512260398979148,NA,NA,NA,NA,ENSMUSG00000046546,Q8BUP8,224093
chr16,33805083,33805140,58,+,1701,peak365,NA,Muc13,NA,NA,NA,NA,FALSE,NA,intron,Muc13,4.07596021510264e-6,-7.412817478055698,NA,NA,NA,NA,ENSMUSG00000022824,P19467,17063
chr16,34952773,34952818,46,+,1601,peak366,Mylk,Mylk,NA,NA,NA,NA,FALSE,NA,exon,Mylk,0.014275499069323024,-1.6692386778265074,miR-27-3p,NA,NA,NA,ENSMUSG00000022836,Q6PDN3,107589
chr16,91654686,91654746,61,+,2366,peak374,Son,Son,NA,NA,NA,NA,FALSE,NA,exon,Son,0.00453303612366862,-2.0575685907087737,NA,NA,NA,NA,ENSMUSG00000022961,Q9QX47,20658
chr16,96283791,96283850,60,+,4617,peak377,NA,B3galt5,NA,NA,NA,NA,FALSE,NA,intron,B3galt5,6.991336482980745e-7,-5.871580119788218,NA,NA,NA,NA,ENSMUSG00000074892,Q9JI67,93961
chr16,96304229,96304289,61,+,2234,peak378,NA,B3galt5,NA,NA,NA,NA,FALSE,NA,intron,B3galt5,0.005587458850471668,-7.546958564238165,NA,NA,NA,NA,ENSMUSG00000074892,Q9JI67,93961
chr16,97594753,97594808,56,-,1731,peak392,NA,Tmprss2,NA,NA,NA,NA,FALSE,NA,intron,Tmprss2,1.5074738053882247e-4,-5.584076398775902,NA,NA,NA,NA,ENSMUSG00000000385,Q9JIQ8,50528
chr17,12219358,12219418,61,+,2050,peak395,Agpat4,NA,NA,NA,Agpat4,Agpat4,FALSE,NA,utr3,Agpat4,0.0014022437405069945,-3.26141896408421,NA,NA,NA,NA,ENSMUSG00000023827,Q8K4X7,68262
chr17,23858206,23858254,49,+,4479,peak399,NA,Prss32,NA,NA,NA,Prss32,FALSE,NA,utr3*,Prss32,1.7596456030352293e-9,-5.883058901237504,NA,NA,NA,NA,ENSMUSG00000048992,E9Q409,69814
chr17,28708227,28708285,59,+,1790,peak403,NA,Mapk14,NA,NA,NA,NA,FALSE,NA,intron,Mapk14,9.11094379144376e-7,-7.604399607519357,NA,NA,NA,NA,ENSMUSG00000053436,P47811,26416
chr17,33926473,33926522,50,+,2564,peak407,Tapbp,Tapbp,NA,NA,NA,NA,FALSE,NA,exon,Tapbp,2.8462337001269476e-6,-3.4423302777995533,NA,NA,miR-29-3p,NA,ENSMUSG00000024308 ENSMUSG00000038213,Q9R233 Q8VD31,21356 213233
chr17,70875433,70875491,59,+,1870,peak433,NA,RP23-85E24.3,NA,NA,NA,NA,FALSE,NA,intron,RP23-85E24.3,3.4100195535683244e-6,-7.48581610478842,NA,NA,NA,NA,NA,"NA",NA
chr17,34469192,34469245,54,-,4225,peak449,Btnl4,NA,NA,NA,NA,NA,FALSE,NA,exon,Btnl4,2.6494772460489515e-8,-6.901676146583414,NA,NA,NA,NA,ENSMUSG00000058435,A2CG29,632126
chr18,31973403,31973457,55,-,1814,peak478,NA,Myo7b,NA,NA,NA,NA,FALSE,NA,intron,Myo7b,0.019476943882617875,-6.217771138192365,NA,NA,NA,NA,ENSMUSG00000024388,Q99MZ6,17922
chr18,64620204,64620268,65,-,1389,peak490,NA,Atp8b1,NA,NA,NA,NA,FALSE,NA,intron,Atp8b1,1.637020243101516e-5,-5.837788018240205,NA,NA,NA,NA,ENSMUSG00000039529,Q148W0,54670
chr19,18732752,18732802,51,+,1879,peak503,Gm23238,NA,NA,NA,NA,NA,FALSE,NA,exon,Gm23238,1.8451969411052696e-7,-6.526277222686376,NA,NA,NA,NA,ENSMUSG00000064941,"NA",NA
chr19,39027613,39027695,83,+,3471,peak506,NA,Cyp2c55,NA,NA,NA,NA,FALSE,NA,intron,Cyp2c55,3.597512370210121e-8,-6.198803622200934,NA,NA,NA,NA,ENSMUSG00000025002,Q9D816,72082
chr19,55842499,55842559,61,+,3135,peak512,Ppnr,Tcf7l2,NA,NA,NA,NA,FALSE,NA,exon,Ppnr Tcf7l2,0.06677772688064065,-4.386322928595491,NA,NA,NA,miR-141-5p/6769b-3p,NA,Q78DZ5 Q924A0,NA
chr19,55905241,55905291,51,+,1532,peak514,NA,Tcf7l2,NA,NA,NA,NA,FALSE,NA,intron,Tcf7l2,2.453672172487566e-6,-6.756921952091989,NA,NA,NA,NA,ENSMUSG00000024985,Q924A0,21416
chr19,5801859,5801902,44,-,4310,peak518,Malat1,NA,NA,NA,NA,NA,FALSE,NA,exon,Malat1,2.5622922414031238e-5,-2.526077907634909,NA,NA,miR-141-5p/6769b-3p,NA,ENSMUSG00000092341,B0LAE7,72289
chr19,5832730,5832791,62,-,2437,peak519,Neat1,NA,NA,NA,NA,NA,FALSE,NA,exon,Neat1,0.07359048774967465,-5.144329390347498,NA,NA,NA,NA,ENSMUSG00000092274,"NA",66961
chr19,43889704,43889751,48,-,1878,peak523,Dnmbp,Dnmbp,NA,NA,NA,NA,FALSE,NA,exon,Dnmbp,2.620484564975512e-6,-3.7990385277354903,miR-182-5p,NA,miR-96-5p,NA,ENSMUSG00000025195,Q6TXD4,71972
chr2,44056645,44056697,53,+,3485,peak531,NA,Arhgap15,NA,NA,NA,NA,FALSE,NA,intron,Arhgap15,3.359876454637049e-9,-8.699353485299369,NA,NA,NA,NA,ENSMUSG00000049744,Q811M1,76117
chr2,57289844,57289893,50,+,1429,peak533,Gpd2,Gpd2,NA,NA,NA,NA,FALSE,NA,exon,Gpd2,2.042847837523133e-6,-4.23516586743451,NA,"miR-484, miR-484","miR-27-3p, let-7-5p/miR-98-5p",miR-24-3p,ENSMUSG00000026827,Q64521,14571
chr2,154867181,154867226,46,+,1019,peak545,Raly,a,NA,NA,Raly,Raly,FALSE,NA,utr3,Raly,1.637020243101516e-5,-4.760794253960208,NA,NA,NA,NA,ENSMUSG00000027593,Q64012,19383
chr2,5562790,5562839,50,-,1646,peak556,NA,Camk1d,NA,NA,NA,NA,FALSE,NA,intron,Camk1d,1.060321624711745e-6,-7.753381776533384,NA,NA,NA,NA,ENSMUSG00000039145,Q8BW96,227541
chr2,38633906,38633956,51,-,1469,peak563,Psmb7,NA,NA,NA,NA,NA,FALSE,NA,exon,Psmb7,2.5940655373370704e-5,-3.4331359950533513,NA,NA,NA,miR-194-5p,ENSMUSG00000026750,P70195,19177
chr2,62975131,62975191,61,-,2609,peak565,NA,Kcnh7,NA,NA,NA,NA,FALSE,NA,intron,Kcnh7,0.03335815991225153,-6.479912949229863,NA,NA,NA,NA,ENSMUSG00000059742,Q9ER47,170738
chr2,73909313,73909360,48,-,5170,peak568,Atp5g3,NA,NA,NA,NA,NA,FALSE,NA,exon,Atp5g3,5.53820441200298e-5,-2.3666021786751226,NA,NA,NA,miR-345-5p,ENSMUSG00000018770,P56384,228033
chr2,105611800,105611855,56,-,1591,peak572,NA,Pax6os1,NA,NA,NA,NA,FALSE,NA,intron,Pax6os1,1.7972687340803407e-6,-6.644024044745845,NA,NA,NA,NA,ENSMUSG00000086029,"NA",402728
chr2,127638645,127638691,47,-,1463,peak575,Mal,NA,NA,NA,NA,NA,FALSE,NA,exon,Mal,6.674216169194888e-7,-4.420123234261825,NA,NA,let-7-5p/miR-98-5p,NA,ENSMUSG00000092341 ENSMUSG00000027375 ENSMUSG00000024479 ENSMUSG00000027377,O09198 Q8BI08 Q8K4J6 Q91X49 Q99JY1,72289 17153 105853 228576
chr2,166655063,166655109,47,-,2999,peak587,Gm23152,Prex1,NA,NA,NA,NA,FALSE,NA,exon,Gm23152 Prex1,1.825645834842759e-8,-5.395716853224637,NA,NA,NA,"miR-10-5p, miR-200-3p/429-3p",NA,B4II61 Q69ZK0,NA
chr2,179915858,179915915,58,-,2426,peak591,NA,Taf4,NA,NA,NA,NA,FALSE,NA,intron,Taf4,6.75983153896667e-7,-7.908563710706368,NA,NA,NA,NA,NA,G5E8Z2,228980
chr3,14663753,14663806,54,+,1801,peak595,NA,NA,NA,NA,NA,Car13,FALSE,NA,utr3*,Car13,2.263108682730184e-6,-6.438251845910228,NA,NA,miR-139-5p,"miR-26-5p, miR-130-3p/301-3p",ENSMUSG00000027555,Q9D6N1,71934
chr3,14890537,14890598,62,+,2610,peak596,NA,Car2,NA,NA,NA,NA,FALSE,NA,intron,Car2,0.015959979763458514,-5.548348794141517,NA,NA,NA,NA,ENSMUSG00000027562,P00920,12349
chr3,22211205,22211254,50,+,1430,peak599,Tbl1xr1,NA,NA,NA,Tbl1xr1,Tbl1xr1,FALSE,NA,utr3,Tbl1xr1,1.9657383974884283e-4,-3.715663794849973,NA,NA,NA,NA,ENSMUSG00000027630,Q8BHJ5,81004
chr3,48954823,48954871,49,+,8583,peak603,Gm23511,NA,NA,NA,NA,NA,FALSE,NA,exon,Gm23511,1.388588852645663e-14,-6.072650289795638,NA,NA,NA,NA,ENSMUSG00000065018,"NA",NA
chr3,94939094,94939148,55,+,1417,peak615,NA,Selenbp1,NA,NA,NA,Selenbp1,FALSE,NA,utr3*,Selenbp1,3.976417023315079e-6,-5.985543331155259,NA,NA,NA,NA,ENSMUSG00000068874,P17563,20341
chr3,108358783,108358835,53,+,2262,peak621,Sort1,NA,NA,NA,Sort1,NA,FALSE,NA,utr3,Sort1,3.8454441904549066e-7,-6.516196423091302,NA,NA,NA,NA,ENSMUSG00000068747,Q6PHU5,20661
chr3,127731616,127731664,49,+,1378,peak623,Gm23279,NA,NA,NA,NA,NA,FALSE,NA,exon,Gm23279,7.672412804419923e-5,-4.86418373553788,miR-141-5p/6769b-3p,NA,NA,miR-10-5p,ENSMUSG00000088537,"NA",NA
chr3,30509538,30509605,68,-,3375,peak634,Mecom,Mecom,Mecom,Mecom,NA,NA,FALSE,NA,utr5,Mecom,2.91819852154015e-5,-5.285100563038337,NA,NA,NA,NA,ENSMUSG00000027684,P14404,14013
chr3,52013696,52013754,59,-,1958,peak640,NA,Maml3,NA,NA,NA,NA,FALSE,NA,intron,Maml3,2.042847837523133e-6,-7.536636245324782,NA,NA,NA,NA,ENSMUSG00000061143,D4QGC2,433586
chr4,21910655,21910700,46,+,999,peak656,Coq3,NA,NA,NA,Coq3,NA,FALSE,NA,utr3,Coq3,5.278000713112712e-5,-3.7429448826407303,"miR-26-5p, miR-30-5p/384-5p",NA,NA,NA,ENSMUSG00000028247,Q8BMS4,230027
chr4,148904453,148904515,63,+,4060,peak674,NA,Casz1,NA,NA,NA,NA,FALSE,NA,intron,Casz1,8.052922644025469e-4,-7.385333437447652,NA,NA,NA,NA,ENSMUSG00000028977,Q9CWL2,69743
chr4,51812588,51812642,55,-,6114,peak687,Gm22042,NA,NA,NA,NA,NA,FALSE,NA,exon,Gm22042,1.1206737449098565e-13,-6.026487308955457,NA,NA,NA,NA,ENSMUSG00000064923,"NA",NA
chr4,99078881,99078926,46,-,903,peak694,Dock7,NA,NA,NA,NA,NA,FALSE,NA,exon,Dock7,9.574608019112278e-4,-2.745564622116727,NA,NA,NA,NA,ENSMUSG00000028556,Q8R1A4,67299
chr4,121084003,121084049,47,-,865,peak697,Gm23540,Zmpste24,NA,NA,NA,NA,FALSE,NA,exon,Gm23540 Zmpste24,1.7469814618448084e-6,-7.238220047814696,NA,NA,NA,NA,NA,Q80W54,NA
chr4,121084094,121084144,51,-,946,peak698,Gm23540,Zmpste24,NA,NA,NA,NA,FALSE,NA,exon,Gm23540 Zmpste24,3.3046330570395578e-6,-7.171880945422683,NA,miR-205-5p,NA,NA,NA,Q80W54,NA
chr4,149468500,149468544,45,-,1290,peak703,Nmnat1,NA,NA,NA,Nmnat1,Nmnat1,FALSE,NA,utr3,Nmnat1,1.0287078489575581e-6,-4.910058913351904,miR-147-3p,NA,miR-210-3p,NA,ENSMUSG00000028992,Q9EPA7,66454
chr5,32459279,32459326,48,+,953,peak708,Ppp1cb,NA,Ppp1cb,NA,NA,NA,FALSE,NA,utr5,Ppp1cb,0.0017897516241202182,-2.6146429147051484,NA,NA,NA,miR-423-3p,ENSMUSG00000014956,P62141,19046
chr5,63898130,63898185,56,+,1336,peak713,RP23-192C21.1,NA,NA,NA,NA,NA,FALSE,NA,exon,RP23-192C21.1,5.514308672759249e-4,-3.1939166300177657,let-7-5p/miR-98-5p,NA,NA,miR-196-5p,NA,"NA",NA
chr5,103784162,103784206,45,+,2740,peak717,Aff1,NA,NA,NA,NA,NA,FALSE,NA,exon,Aff1,2.703754755237468e-11,-4.756296097547494,miR-7-5p,NA,NA,miR-15-5p/16-5p/195-5p/322-5p/497-5p,ENSMUSG00000029313,O88573,17355
chr5,144109165,144109222,58,+,2069,peak724,NA,Lmtk2,NA,NA,NA,NA,FALSE,NA,intron,Lmtk2,0.08968798294417658,-7.518030208001423,NA,NA,NA,NA,ENSMUSG00000038970,Q3TYD6,231876
chr5,73046947,73046999,53,-,790,peak734,Fryl,Fryl,NA,NA,NA,NA,FALSE,NA,exon,Fryl,0.34033832884448295,0.6529370978132177,NA,NA,NA,miR-27-3p,ENSMUSG00000070733,Q80XD5,72313
chr5,137279936,137279992,57,-,4255,peak754,NA,WI1-166E14.1,NA,NA,NA,NA,FALSE,NA,intron,WI1-166E14.1,0.057226634376865496,-8.515237436670168,NA,NA,NA,NA,NA,"NA",NA
